8734,18,114,390,18,34,0,207,73,26,66,41,21,45,39,17,16,59,16,23,19,44,56,29,59
2,4175,1,8,0,2,0,0,0,0,4,31,19,2,5,3,1,0,0,0,0,1,0,0,1
2,0,27,2,1,0,0,0,1,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0
360,30,68,3147,43,64,0,40,51,8,116,77,15,28,47,26,41,138,49,52,80,69,96,53,109
4,3,9,11,77,5,0,0,1,0,2,18,0,1,1,0,3,3,8,7,0,0,3,0,2
0,1,1,0,1,954,0,0,0,1,2,13,0,3,0,1,6,0,0,2,1,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,3,7,52,5,17,0,9416,64,22,20,32,49,24,46,21,45,23,6,20,2,12,20,5,19
51,2,41,73,7,4,0,52,3422,59,11,33,5,6,20,16,11,10,2,19,0,6,21,3,7
36,1,2,5,1,2,0,5,60,2835,2,12,30,1,29,3,4,2,1,2,0,2,2,1,3
3,0,0,2,1,2,0,6,3,2,571,4,0,2,0,7,7,0,4,16,0,6,0,2,4
2,50,0,1,1,2,0,0,0,13,8,4150,8,0,1,51,1,0,0,1,0,0,0,0,2
5,12,1,3,0,1,0,25,2,76,0,4,5712,6,54,0,1,4,19,1,0,1,5,2,9
0,0,0,1,0,0,0,0,0,0,0,1,0,1250,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,1,0,0,17,0,254,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,63,0,0,0,5,1,0,0,0,0,0,0,0,0,1620,0,0,1,0,0,1,1
0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,4308,0,0,0,0,0,0
0,0,1,1,0,0,0,3,0,0,4,0,1,0,0,0,0,2,0,4879,0,1,0,77,17
0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2907,0,1,0,2
0,0,1,2,0,1,0,0,0,0,1,0,0,2,0,0,2,2,1,0,3,445,0,5,11
28,2,14,27,13,6,0,1,5,2,15,25,2,9,9,8,31,24,4,11,10,17,1054,3,24
4,1,7,9,0,3,0,1,0,0,6,1,2,1,4,8,11,3,2,51,15,20,1,6891,60
21,2,2,34,1,3,0,3,4,2,20,3,9,0,4,5,20,14,4,5,12,20,2,64,416
